MSFT,2020-01-10,161.180,20733946.000,162.824,163.220,161.340,
MSFT,2020-01-13,161.260,18666414.000,161.760,163.310,163.280,
MSFT,2020-01-14,161.720,23500783.000,163.390,163.600,162.130,
MSFT,2020-01-15,162.570,21417871.000,162.620,163.940,163.180,
MSFT,2020-01-16,164.030,23865360.000,164.350,166.240,166.170,
MSFT,2020-01-17,165.430,34371659.000,167.420,167.468,167.100,
MSFT,2020-01-21,166.430,29223486.000,166.680,168.190,166.500,
MSFT,2020-01-22,165.680,24138777.000,167.400,167.490,165.700,
MSFT,2020-01-23,165.270,19680766.000,166.190,166.800,166.720,
MSFT,2020-01-24,164.450,24918117.000,167.510,167.530,165.040,
MSFT,2020-01-27,160.200,32078067.000,161.150,163.375,162.280,
MSFT,2020-01-28,163.073,24899940.000,163.780,165.755,165.460,
MSFT,2020-01-29,165.690,35127771.000,167.840,168.750,168.040,
MSFT,2020-01-30,170.790,51597470.000,174.050,174.050,172.780,
MSFT,2020-01-31,169.580,36142690.000,172.210,172.400,170.230,
MSFT,2020-02-03,170.400,30149052.000,170.430,174.500,174.380,
MSFT,2020-02-04,176.310,36433339.000,177.140,180.640,180.120,
MSFT,2020-02-05,178.410,39186324.000,184.030,184.200,179.900,
MSFT,2020-02-06,180.059,27532204.000,180.970,183.820,183.630,
MSFT,2020-02-07,182.480,25705891.000,182.845,185.630,183.890,
